JobID,Schedule Name,Schedule Steps,Schedule Time,Schedule Type,Enabled,Machine
her3dUhk,5Labs,00 - 5Labs Test (Not this One),8:00 AM,manually,False,CrushFTP
mF9Z6fZ3,5Labs,00a - 5Labs Test IPSD Files,8:00 AM,manually,False,CrushFTP
EzYUckzE,5Labs,01 - 5Labs IPSD Files (Disabled 2023-11-13),09:00 PM,daily,False,CrushFTP
v7eBPqvb,5Labs,Copy Of 01 - 5Labs IPSD Files,09:00 PM,daily,False,CrushFTP
xmpQdmYx,ActivateLearning IQWST,01 Upload IQWST File,11:01 PM,daily,False,CrushFTP
y2nTP2Nt,ActivateLearning IQWST,02 Transfer IQWST File,11:35 PM,daily,False,CrushFTP
72PP9f9u,ActivateLearning IQWST,03 Transfer IQWST File (ShareSpace),11:35 PM,daily,False,CrushFTP
qKZcNfdK,ActivateLearning IQWST - Retired,XX - Dummy Job to Fail,8:00 AM,manually,True,CrushFTP
PAKBphB6,Aimsweb,01 Upload Aimsweb File,05:45 PM,daily,False,CrushFTP
mvEDfWEU,Aimsweb,02 Email Aimsweb File,05:50 PM,daily,False,CrushFTP
dUaRK7mW,Aimsweb,03 Upload Aimsweb Txt File,05:47 PM,daily,False,CrushFTP
c46HQgd6,Aimsweb,04 SFTP Aimsweb File,05:47 PM,daily,False,CrushFTP
99TQKqKc,APEX,01 APEX - Send Users File (8-15 PM),08:25 PM,daily,False,CrushFTP
VZqNDBMh,Beable,01 Transfer Beable Zip (Off - PowerShell'd),8:00 AM,manually,False,CrushFTP
7pTAN6yA,Blackboard ParentLink,00a Upload Blackboard Transfer Files (Manual),8:00 AM,manually,False,CrushFTP
BnUDanyn,Blackboard ParentLink,01 Upload Blackboard Transfer Files (Nightly),12:10 AM,daily,True,CrushFTP
BnUDanyn,Blackboard ParentLink,01 Upload Blackboard Transfer Files (Nightly),11:10 PM,daily,True,CrushFTP
pf62Q9YY,Blackboard ParentLink,02 Transfer Blackboard Files (12_15 AM),12:15 AM,daily,True,CrushFTP
pf62Q9YY,Blackboard ParentLink,02 Transfer Blackboard Files (12_15 AM),11:15 PM,daily,True,CrushFTP
yeP9eyPR,Clever,01 Clever - Upload and Send Files,02:20 AM,daily,False,CrushFTP
yeP9eyPR,Clever,01 Clever - Upload and Send Files,10:35 PM,daily,False,CrushFTP
UbgVn9C7,Concept - DO NOT USE,,8:00 AM,manually,False,CrushFTP
XNwTX7qd,ConnectED,Connect5 - Send Files,11:15 PM,daily,False,CrushFTP
9ngunbqk,ConnectED,ConnectED - Transport to Blackboard (Staff),11:30 PM,daily,True,CrushFTP
9vKMzU77,ConnectED,ConnectED - Transport to Blackboard (Students),11:00 PM,daily,True,CrushFTP
7cgmuw2z,DESSA,DESSA Export,11:30 PM,daily,False,CrushFTP
EcBEMrUn,Destiny,Destiny - From SFTP To Destiny Web Server,11:30 PM,daily,False,CrushFTP
yPPWcVb8,Destiny,Destiny Fees Extract (ird204),11:50 AM,daily,True,CrushFTP
yPPWcVb8,Destiny,Destiny Fees Extract (ird204),07:05 PM,daily,True,CrushFTP
ycWyRYew,Destiny,Fines to Close in Destiny Cloud,01:05 PM,weekly,True,CrushFTP
ycWyRYew,Destiny,Fines to Close in Destiny Cloud,08:20 PM,weekly,True,CrushFTP
pm6bbeHM,Destiny,To The Cloud,11:30 PM,daily,True,CrushFTP
YtYeyu98,Dreambox,01 Upload Dreambox Files (Disabled - Summer),10:10 PM,daily,False,CrushFTP
89UD2XBz,Dreambox,02 Transfer Dreambox Files (Disabled - Summer),10:20 PM,daily,False,CrushFTP
4Hx8cZBh,EasyBridge,01 Upload EasyBridge Files (RI Cred),08:01 PM,daily,True,CrushFTP
baRVtzTg,EasyBridge,02 Transfer EasyBridge File,08:30 PM,daily,True,CrushFTP
4rVmwrem,EasyBridge,XX Zip EasyBridge Files (DOES NOT WORK),8:00 AM,manually,False,CrushFTP
VGVYNxcD,Edficiency,01 - Edficiency Upload (7 Forty Five PM),07:45 PM,daily,False,CrushFTP
7PNx8cpR,Edficiency,01a - Edficiency Upload (7 Forty Five PM) WV MV Only,07:45 PM,daily,False,CrushFTP
AfBzDXkp,Edficiency,02 - Edficiency Transfer (7 Fifty PM),07:50 PM,daily,False,CrushFTP
FNVhNr3q,Edficiency,02a - Edficiency Transfer (7 Fifty PM) WV MV Only,07:50 PM,daily,False,CrushFTP
KnWUcTMT,Edficiency,03- Edficiency Error Files,8:00 AM,manually,False,CrushFTP
XMuVyUuQ,Edficiency,0A - Securly OneRoster Transfer (Seven Fifth PM),07:50 PM,daily,False,CrushFTP
FAZWfYC8,Embrace,01 - Move Old PDFs,8:00 AM,manually,True,CrushFTP
4bNrY3y4,Embrace,02 - Purge Old PDFs,8:00 AM,manually,True,CrushFTP
a78PVzK7,Embrace,08 Embrace - From EduPoint To Embrace (5 minutes before the hour),12:55 AM,daily,True,CrushFTP
