JobID,Schedule Name,Schedule Time,Schedule Type,Enabled
her3dUhk,5Labs/00 - 5Labs Test (Not this One),8:00 AM,manually,false
mF9Z6fZ3,5Labs/00a - 5Labs Test IPSD Files,8:00 AM,manually,false
EzYUckzE,5Labs/01 - 5Labs IPSD Files (Disabled 2023-11-13),09:00 PM,daily,false
v7eBPqvb,5Labs/Copy Of 01 - 5Labs IPSD Files,09:00 PM,daily,false
xmpQdmYx,ActivateLearning IQWST/01 Upload IQWST File,11:01 PM,daily,false
y2nTP2Nt,ActivateLearning IQWST/02 Transfer IQWST File,11:35 PM,daily,false
72PP9f9u,ActivateLearning IQWST/03 Transfer IQWST File (ShareSpace),11:35 PM,daily,false
qKZcNfdK,ActivateLearning IQWST - Retired/XX - Dummy Job to Fail,8:00 AM,manually,true
PAKBphB6,Aimsweb/01 Upload Aimsweb File,05:45 PM,daily,false
mvEDfWEU,Aimsweb/02 Email Aimsweb File,05:50 PM,daily,false
dUaRK7mW,Aimsweb/03 Upload Aimsweb Txt File,05:47 PM,daily,false
c46HQgd6,Aimsweb/04 SFTP Aimsweb File,05:47 PM,daily,false
99TQKqKc,APEX/01 APEX - Send Users File (8-15 PM),08:25 PM,daily,false
VZqNDBMh,Beable/01 Transfer Beable Zip (Off - PowerShell'd),8:00 AM,manually,false
7pTAN6yA,Blackboard ParentLink/00a Upload Blackboard Transfer Files (Manual),8:00 AM,manually,false
BnUDanyn,Blackboard ParentLink/01 Upload Blackboard Transfer Files (Nightly),"12:10 AM,11:10 PM",daily,true
pf62Q9YY,Blackboard ParentLink/02 Transfer Blackboard Files (12_15 AM),"12:15 AM,11:15 PM",daily,true
yeP9eyPR,Clever/01 Clever - Upload and Send Files,"02:20 AM,10:35 PM",daily,false
UbgVn9C7,Concept - DO NOT USE,8:00 AM,manually,false
XNwTX7qd,ConnectED/Connect5 - Send Files,11:15 PM,daily,false
9ngunbqk,ConnectED/ConnectED - Transport to Blackboard (Staff),11:30 PM,daily,true
9vKMzU77,ConnectED/ConnectED - Transport to Blackboard (Students),11:00 PM,daily,true
7cgmuw2z,DESSA/DESSA Export,11:30 PM,daily,false
EcBEMrUn,Destiny/Destiny - From SFTP To Destiny Web Server,11:30 PM,daily,false
yPPWcVb8,Destiny/Destiny Fees Extract (ird204),"11:50 AM,07:05 PM",daily,true
ycWyRYew,Destiny/Fines to Close in Destiny Cloud,"01:05 PM,08:20 PM",weekly,true
pm6bbeHM,Destiny/To The Cloud,11:30 PM,daily,true
YtYeyu98,Dreambox/01 Upload Dreambox Files (Disabled - Summer),10:10 PM,daily,false
89UD2XBz,Dreambox/02 Transfer Dreambox Files (Disabled - Summer),10:20 PM,daily,false
4Hx8cZBh,EasyBridge/01 Upload EasyBridge Files (RI Cred),08:01 PM,daily,true
baRVtzTg,EasyBridge/02 Transfer EasyBridge File,08:30 PM,daily,true
4rVmwrem,EasyBridge/XX Zip EasyBridge Files (DOES NOT WORK),8:00 AM,manually,false
VGVYNxcD,Edficiency/01 - Edficiency Upload (7 Forty Five PM),07:45 PM,daily,false
7PNx8cpR,Edficiency/01a - Edficiency Upload (7 Forty Five PM) WV MV Only,07:45 PM,daily,false
AfBzDXkp,Edficiency/02 - Edficiency Transfer (7 Fifty PM),07:50 PM,daily,false
FNVhNr3q,Edficiency/02a - Edficiency Transfer (7 Fifty PM) WV MV Only,07:50 PM,daily,false
KnWUcTMT,Edficiency/03- Edficiency Error Files,8:00 AM,manually,false
XMuVyUuQ,Edficiency/0A - Securly OneRoster Transfer (Seven Fifth PM),07:50 PM,daily,false
FAZWfYC8,Embrace/01 - Move Old PDFs,8:00 AM,manually,true
4bNrY3y4,Embrace/02 - Purge Old PDFs,8:00 AM,manually,true
a78PVzK7,Embrace/08 Embrace - From EduPoint To Embrace (5 minutes before the hour),"12:55 AM,01:55 AM,02:55 AM,03:55 AM,04:55 AM,05:55 AM,06:55 AM,07:55 AM,08:55 AM,09:55 AM,10:55 AM,11:55 AM,12:55 PM,01:55 PM,02:55 PM,03:55 PM,04:55 PM,05:55 PM,06:55 PM,07:55 PM,08:55 PM,09:55 PM,10:55 PM,11:55 PM",daily,true
BBHgCTXF,Embrace/09 Embrace - From Embrace to Edupoint (PDF) (IP) (15 on the hour),"12:15 AM,01:15 AM,02:15 AM,03:15 AM,04:15 AM,05:15 AM,06:15 AM,07:15 AM,08:15 AM,09:15 AM,10:15 AM,11:15 AM,12:15 PM,01:15 PM,02:15 PM,03:15 PM,04:15 PM,05:15 PM,06:15 PM,07:15 PM,08:15 PM,09:15 PM,10:15 PM,11:15 PM",daily,true
